sku,name,description,price,cost,stock_quantity,vendor_category,vendor_subcategory_1,vendor_subcategory_2
"DEMO-000206","Demo Product 206 - Clothing","This is demo product number 206 in the Clothing category.","743.46","196.74","596","Clothing","Kids",""
"DEMO-000207","Demo Product 207 - Home & Garden","This is demo product number 207 in the Home & Garden category.","618.36","441.26","928","Home & Garden","Furniture",""
"DEMO-000208","Demo Product 208 - Sports & Outdoors","This is demo product number 208 in the Sports & Outdoors category.","119.19","12.31","834","Sports & Outdoors","Camping",""
"DEMO-000209","Demo Product 209 - Books & Media","This is demo product number 209 in the Books & Media category.","1004.24","348.12","278","Books & Media","Educational",""
"DEMO-000210","Demo Product 210 - Electronics","This is demo product number 210 in the Electronics category.","705.07","489.31","449","Electronics","Smartphones",""
"DEMO-000211","Demo Product 211 - Clothing","This is demo product number 211 in the Clothing category.","704.69","172.92","861","Clothing","Women",""
"DEMO-000212","Demo Product 212 - Home & Garden","This is demo product number 212 in the Home & Garden category.","701.55","237.75","700","Home & Garden","Kitchen",""
"DEMO-000213","Demo Product 213 - Sports & Outdoors","This is demo product number 213 in the Sports & Outdoors category.","22.10","307.28","259","Sports & Outdoors","Fitness",""
"DEMO-000214","Demo Product 214 - Books & Media","This is demo product number 214 in the Books & Media category.","401.69","48.93","970","Books & Media","Non-Fiction",""
"DEMO-000215","Demo Product 215 - Electronics","This is demo product number 215 in the Electronics category.","785.20","54.12","531","Electronics","Tablets",""
"DEMO-000216","Demo Product 216 - Clothing","This is demo product number 216 in the Clothing category.","266.80","272.93","556","Clothing","Men",""
"DEMO-000217","Demo Product 217 - Home & Garden","This is demo product number 217 in the Home & Garden category.","719.16","402.86","312","Home & Garden","Decor",""
"DEMO-000218","Demo Product 218 - Sports & Outdoors","This is demo product number 218 in the Sports & Outdoors category.","150.18","433.51","759","Sports & Outdoors","Cycling",""
"DEMO-000219","Demo Product 219 - Books & Media","This is demo product number 219 in the Books & Media category.","831.69","189.62","594","Books & Media","Fiction",""
"DEMO-000220","Demo Product 220 - Electronics","This is demo product number 220 in the Electronics category.","160.52","148.34","827","Electronics","Laptops",""
"DEMO-000221","Demo Product 221 - Clothing","This is demo product number 221 in the Clothing category.","995.43","341.89","294","Clothing","Kids",""
"DEMO-000222","Demo Product 222 - Home & Garden","This is demo product number 222 in the Home & Garden category.","429.27","28.63","696","Home & Garden","Furniture",""
"DEMO-000223","Demo Product 223 - Sports & Outdoors","This is demo product number 223 in the Sports & Outdoors category.","22.37","155.82","988","Sports & Outdoors","Camping",""
"DEMO-000224","Demo Product 224 - Books & Media","This is demo product number 224 in the Books & Media category.","564.31","177.19","66","Books & Media","Educational",""
"DEMO-000225","Demo Product 225 - Electronics","This is demo product number 225 in the Electronics category.","994.30","162.45","631","Electronics","Smartphones",""
"DEMO-000226","Demo Product 226 - Clothing","This is demo product number 226 in the Clothing category.","66.54","348.28","996","Clothing","Women",""
"DEMO-000227","Demo Product 227 - Home & Garden","This is demo product number 227 in the Home & Garden category.","323.55","63.59","990","Home & Garden","Kitchen",""
"DEMO-000228","Demo Product 228 - Sports & Outdoors","This is demo product number 228 in the Sports & Outdoors category.","531.59","72.60","241","Sports & Outdoors","Fitness",""
"DEMO-000229","Demo Product 229 - Books & Media","This is demo product number 229 in the Books & Media category.","234.30","239.38","397","Books & Media","Non-Fiction",""
"DEMO-000230","Demo Product 230 - Electronics","This is demo product number 230 in the Electronics category.","640.81","355.47","305","Electronics","Tablets",""
"DEMO-000231","Demo Product 231 - Clothing","This is demo product number 231 in the Clothing category.","712.08","148.64","195","Clothing","Men",""
"DEMO-000232","Demo Product 232 - Home & Garden","This is demo product number 232 in the Home & Garden category.","838.84","349.84","681","Home & Garden","Decor",""
"DEMO-000233","Demo Product 233 - Sports & Outdoors","This is demo product number 233 in the Sports & Outdoors category.","804.98","372.93","983","Sports & Outdoors","Cycling",""
"DEMO-000234","Demo Product 234 - Books & Media","This is demo product number 234 in the Books & Media category.","537.09","371.74","835","Books & Media","Fiction",""
"DEMO-000235","Demo Product 235 - Electronics","This is demo product number 235 in the Electronics category.","420.93","409.46","818","Electronics","Laptops",""
"DEMO-000236","Demo Product 236 - Clothing","This is demo product number 236 in the Clothing category.","124.84","170.70","770","Clothing","Kids",""
"DEMO-000237","Demo Product 237 - Home & Garden","This is demo product number 237 in the Home & Garden category.","646.30","178.66","804","Home & Garden","Furniture",""
"DEMO-000238","Demo Product 238 - Sports & Outdoors","This is demo product number 238 in the Sports & Outdoors category.","789.83","349.70","545","Sports & Outdoors","Camping",""
"DEMO-000239","Demo Product 239 - Books & Media","This is demo product number 239 in the Books & Media category.","285.08","261.63","970","Books & Media","Educational",""
"DEMO-000240","Demo Product 240 - Electronics","This is demo product number 240 in the Electronics category.","756.92","410.00","394","Electronics","Smartphones",""
"DEMO-000241","Demo Product 241 - Clothing","This is demo product number 241 in the Clothing category.","309.19","135.92","961","Clothing","Women",""
"DEMO-000242","Demo Product 242 - Home & Garden","This is demo product number 242 in the Home & Garden category.","499.60","171.98","714","Home & Garden","Kitchen",""
"DEMO-000243","Demo Product 243 - Sports & Outdoors","This is demo product number 243 in the Sports & Outdoors category.","540.62","437.78","323","Sports & Outdoors","Fitness",""
"DEMO-000244","Demo Product 244 - Books & Media","This is demo product number 244 in the Books & Media category.","660.24","350.70","133","Books & Media","Non-Fiction",""
"DEMO-000245","Demo Product 245 - Electronics","This is demo product number 245 in the Electronics category.","490.85","25.77","458","Electronics","Tablets",""
"DEMO-000246","Demo Product 246 - Clothing","This is demo product number 246 in the Clothing category.","628.08","27.17","973","Clothing","Men",""
"DEMO-000247","Demo Product 247 - Home & Garden","This is demo product number 247 in the Home & Garden category.","727.58","159.98","431","Home & Garden","Decor",""
"DEMO-000248","Demo Product 248 - Sports & Outdoors","This is demo product number 248 in the Sports & Outdoors category.","807.77","423.02","616","Sports & Outdoors","Cycling",""
"DEMO-000249","Demo Product 249 - Books & Media","This is demo product number 249 in the Books & Media category.","855.51","230.72","745","Books & Media","Fiction",""
"DEMO-000250","Demo Product 250 - Electronics","This is demo product number 250 in the Electronics category.","110.00","244.94","147","Electronics","Laptops",""
"DEMO-000251","Demo Product 251 - Clothing","This is demo product number 251 in the Clothing category.","392.17","27.18","381","Clothing","Kids",""
"DEMO-000252","Demo Product 252 - Home & Garden","This is demo product number 252 in the Home & Garden category.","777.68","276.93","743","Home & Garden","Furniture",""
"DEMO-000253","Demo Product 253 - Sports & Outdoors","This is demo product number 253 in the Sports & Outdoors category.","806.52","364.28","350","Sports & Outdoors","Camping",""
"DEMO-000254","Demo Product 254 - Books & Media","This is demo product number 254 in the Books & Media category.","611.85","201.08","295","Books & Media","Educational",""
"DEMO-000255","Demo Product 255 - Electronics","This is demo product number 255 in the Electronics category.","97.14","219.43","745","Electronics","Smartphones",""
"DEMO-000256","Demo Product 256 - Clothing","This is demo product number 256 in the Clothing category.","736.21","498.42","662","Clothing","Women",""
"DEMO-000257","Demo Product 257 - Home & Garden","This is demo product number 257 in the Home & Garden category.","240.05","263.43","956","Home & Garden","Kitchen",""
"DEMO-000258","Demo Product 258 - Sports & Outdoors","This is demo product number 258 in the Sports & Outdoors category.","328.32","206.88","453","Sports & Outdoors","Fitness",""
"DEMO-000259","Demo Product 259 - Books & Media","This is demo product number 259 in the Books & Media category.","682.05","89.16","105","Books & Media","Non-Fiction",""
"DEMO-000260","Demo Product 260 - Electronics","This is demo product number 260 in the Electronics category.","334.22","502.37","891","Electronics","Tablets",""
"DEMO-000261","Demo Product 261 - Clothing","This is demo product number 261 in the Clothing category.","833.32","151.57","596","Clothing","Men",""
"DEMO-000262","Demo Product 262 - Home & Garden","This is demo product number 262 in the Home & Garden category.","897.96","299.83","415","Home & Garden","Decor",""
"DEMO-000263","Demo Product 263 - Sports & Outdoors","This is demo product number 263 in the Sports & Outdoors category.","745.20","344.30","520","Sports & Outdoors","Cycling",""
"DEMO-000264","Demo Product 264 - Books & Media","This is demo product number 264 in the Books & Media category.","967.53","116.23","541","Books & Media","Fiction",""
"DEMO-000265","Demo Product 265 - Electronics","This is demo product number 265 in the Electronics category.","439.13","490.08","503","Electronics","Laptops",""
"DEMO-000266","Demo Product 266 - Clothing","This is demo product number 266 in the Clothing category.","133.19","124.18","634","Clothing","Kids",""
"DEMO-000267","Demo Product 267 - Home & Garden","This is demo product number 267 in the Home & Garden category.","841.88","88.73","295","Home & Garden","Furniture",""
"DEMO-000268","Demo Product 268 - Sports & Outdoors","This is demo product number 268 in the Sports & Outdoors category.","430.42","427.69","403","Sports & Outdoors","Camping",""
"DEMO-000269","Demo Product 269 - Books & Media","This is demo product number 269 in the Books & Media category.","318.43","181.70","75","Books & Media","Educational",""
"DEMO-000270","Demo Product 270 - Electronics","This is demo product number 270 in the Electronics category.","131.66","250.50","836","Electronics","Smartphones",""
"DEMO-000271","Demo Product 271 - Clothing","This is demo product number 271 in the Clothing category.","213.77","483.84","473","Clothing","Women",""
"DEMO-000272","Demo Product 272 - Home & Garden","This is demo product number 272 in the Home & Garden category.","207.35","243.47","334","Home & Garden","Kitchen",""
"DEMO-000273","Demo Product 273 - Sports & Outdoors","This is demo product number 273 in the Sports & Outdoors category.","392.94","253.74","457","Sports & Outdoors","Fitness",""
"DEMO-000274","Demo Product 274 - Books & Media","This is demo product number 274 in the Books & Media category.","158.34","487.34","1","Books & Media","Non-Fiction",""
"DEMO-000275","Demo Product 275 - Electronics","This is demo product number 275 in the Electronics category.","503.03","185.00","558","Electronics","Tablets",""
"DEMO-000276","Demo Product 276 - Clothing","This is demo product number 276 in the Clothing category.","79.80","455.93","435","Clothing","Men",""
"DEMO-000277","Demo Product 277 - Home & Garden","This is demo product number 277 in the Home & Garden category.","916.06","430.04","199","Home & Garden","Decor",""
"DEMO-000278","Demo Product 278 - Sports & Outdoors","This is demo product number 278 in the Sports & Outdoors category.","372.57","126.07","760","Sports & Outdoors","Cycling",""
"DEMO-000279","Demo Product 279 - Books & Media","This is demo product number 279 in the Books & Media category.","493.20","97.58","280","Books & Media","Fiction",""
"DEMO-000280","Demo Product 280 - Electronics","This is demo product number 280 in the Electronics category.","129.84","238.53","435","Electronics","Laptops",""
"DEMO-000281","Demo Product 281 - Clothing","This is demo product number 281 in the Clothing category.","750.70","116.12","69","Clothing","Kids",""
"DEMO-000282","Demo Product 282 - Home & Garden","This is demo product number 282 in the Home & Garden category.","469.66","170.21","660","Home & Garden","Furniture",""
"DEMO-000283","Demo Product 283 - Sports & Outdoors","This is demo product number 283 in the Sports & Outdoors category.","257.40","124.20","750","Sports & Outdoors","Camping",""
"DEMO-000284","Demo Product 284 - Books & Media","This is demo product number 284 in the Books & Media category.","877.46","172.44","378","Books & Media","Educational",""
"DEMO-000285","Demo Product 285 - Electronics","This is demo product number 285 in the Electronics category.","545.90","58.04","969","Electronics","Smartphones",""
"DEMO-000286","Demo Product 286 - Clothing","This is demo product number 286 in the Clothing category.","618.48","479.20","774","Clothing","Women",""
"DEMO-000287","Demo Product 287 - Home & Garden","This is demo product number 287 in the Home & Garden category.","658.18","103.02","26","Home & Garden","Kitchen",""
"DEMO-000288","Demo Product 288 - Sports & Outdoors","This is demo product number 288 in the Sports & Outdoors category.","624.33","261.70","419","Sports & Outdoors","Fitness",""
"DEMO-000289","Demo Product 289 - Books & Media","This is demo product number 289 in the Books & Media category.","493.18","37.75","121","Books & Media","Non-Fiction",""
"DEMO-000290","Demo Product 290 - Electronics","This is demo product number 290 in the Electronics category.","926.17","193.16","918","Electronics","Tablets",""
"DEMO-000291","Demo Product 291 - Clothing","This is demo product number 291 in the Clothing category.","382.79","244.55","869","Clothing","Men",""
"DEMO-000292","Demo Product 292 - Home & Garden","This is demo product number 292 in the Home & Garden category.","608.70","431.31","41","Home & Garden","Decor",""
"DEMO-000293","Demo Product 293 - Sports & Outdoors","This is demo product number 293 in the Sports & Outdoors category.","947.02","27.71","159","Sports & Outdoors","Cycling",""
"DEMO-000294","Demo Product 294 - Books & Media","This is demo product number 294 in the Books & Media category.","718.28","51.89","424","Books & Media","Fiction",""
"DEMO-000295","Demo Product 295 - Electronics","This is demo product number 295 in the Electronics category.","51.14","33.90","827","Electronics","Laptops",""
"DEMO-000296","Demo Product 296 - Clothing","This is demo product number 296 in the Clothing category.","164.53","366.32","867","Clothing","Kids",""
"DEMO-000297","Demo Product 297 - Home & Garden","This is demo product number 297 in the Home & Garden category.","437.46","248.47","358","Home & Garden","Furniture",""
"DEMO-000298","Demo Product 298 - Sports & Outdoors","This is demo product number 298 in the Sports & Outdoors category.","233.82","158.30","807","Sports & Outdoors","Camping",""
"DEMO-000299","Demo Product 299 - Books & Media","This is demo product number 299 in the Books & Media category.","776.50","421.65","918","Books & Media","Educational",""
"DEMO-000300","Demo Product 300 - Electronics","This is demo product number 300 in the Electronics category.","584.42","111.08","41","Electronics","Smartphones",""
"DEMO-000301","Demo Product 301 - Clothing","This is demo product number 301 in the Clothing category.","683.19","16.64","721","Clothing","Women",""
"DEMO-000302","Demo Product 302 - Home & Garden","This is demo product number 302 in the Home & Garden category.","56.78","486.36","603","Home & Garden","Kitchen",""
"DEMO-000303","Demo Product 303 - Sports & Outdoors","This is demo product number 303 in the Sports & Outdoors category.","944.70","52.37","853","Sports & Outdoors","Fitness",""
"DEMO-000304","Demo Product 304 - Books & Media","This is demo product number 304 in the Books & Media category.","411.86","164.04","939","Books & Media","Non-Fiction",""
"DEMO-000305","Demo Product 305 - Electronics","This is demo product number 305 in the Electronics category.","825.85","405.53","75","Electronics","Tablets",""
"DEMO-000306","Demo Product 306 - Clothing","This is demo product number 306 in the Clothing category.","533.53","409.97","645","Clothing","Men",""
"DEMO-000307","Demo Product 307 - Home & Garden","This is demo product number 307 in the Home & Garden category.","768.35","122.45","211","Home & Garden","Decor",""
"DEMO-000308","Demo Product 308 - Sports & Outdoors","This is demo product number 308 in the Sports & Outdoors category.","672.47","43.88","331","Sports & Outdoors","Cycling",""
"DEMO-000309","Demo Product 309 - Books & Media","This is demo product number 309 in the Books & Media category.","758.59","14.75","794","Books & Media","Fiction",""
"DEMO-000310","Demo Product 310 - Electronics","This is demo product number 310 in the Electronics category.","27.64","225.82","125","Electronics","Laptops",""
"DEMO-000311","Demo Product 311 - Clothing","This is demo product number 311 in the Clothing category.","499.82","365.78","236","Clothing","Kids",""
"DEMO-000312","Demo Product 312 - Home & Garden","This is demo product number 312 in the Home & Garden category.","655.01","156.48","705","Home & Garden","Furniture",""
"DEMO-000313","Demo Product 313 - Sports & Outdoors","This is demo product number 313 in the Sports & Outdoors category.","68.96","419.52","265","Sports & Outdoors","Camping",""
"DEMO-000314","Demo Product 314 - Books & Media","This is demo product number 314 in the Books & Media category.","174.86","59.98","42","Books & Media","Educational",""
"DEMO-000315","Demo Product 315 - Electronics","This is demo product number 315 in the Electronics category.","934.11","144.93","855","Electronics","Smartphones",""
"DEMO-000316","Demo Product 316 - Clothing","This is demo product number 316 in the Clothing category.","833.79","14.70","317","Clothing","Women",""
"DEMO-000317","Demo Product 317 - Home & Garden","This is demo product number 317 in the Home & Garden category.","605.27","418.36","86","Home & Garden","Kitchen",""
"DEMO-000318","Demo Product 318 - Sports & Outdoors","This is demo product number 318 in the Sports & Outdoors category.","700.81","320.83","977","Sports & Outdoors","Fitness",""
"DEMO-000319","Demo Product 319 - Books & Media","This is demo product number 319 in the Books & Media category.","582.61","60.69","704","Books & Media","Non-Fiction",""
"DEMO-000320","Demo Product 320 - Electronics","This is demo product number 320 in the Electronics category.","778.12","412.93","525","Electronics","Tablets",""
"DEMO-000321","Demo Product 321 - Clothing","This is demo product number 321 in the Clothing category.","990.00","402.83","111","Clothing","Men",""
"DEMO-000322","Demo Product 322 - Home & Garden","This is demo product number 322 in the Home & Garden category.","821.36","390.45","92","Home & Garden","Decor",""
"DEMO-000323","Demo Product 323 - Sports & Outdoors","This is demo product number 323 in the Sports & Outdoors category.","447.74","187.11","918","Sports & Outdoors","Cycling",""
"DEMO-000324","Demo Product 324 - Books & Media","This is demo product number 324 in the Books & Media category.","243.04","425.70","552","Books & Media","Fiction",""
"DEMO-000325","Demo Product 325 - Electronics","This is demo product number 325 in the Electronics category.","63.27","139.54","397","Electronics","Laptops",""
"DEMO-000326","Demo Product 326 - Clothing","This is demo product number 326 in the Clothing category.","814.72","161.86","107","Clothing","Kids",""
"DEMO-000327","Demo Product 327 - Home & Garden","This is demo product number 327 in the Home & Garden category.","103.58","361.52","62","Home & Garden","Furniture",""
"DEMO-000328","Demo Product 328 - Sports & Outdoors","This is demo product number 328 in the Sports & Outdoors category.","51.34","314.81","729","Sports & Outdoors","Camping",""
"DEMO-000329","Demo Product 329 - Books & Media","This is demo product number 329 in the Books & Media category.","405.71","415.59","6","Books & Media","Educational",""
"DEMO-000330","Demo Product 330 - Electronics","This is demo product number 330 in the Electronics category.","931.92","298.18","374","Electronics","Smartphones",""
"DEMO-000331","Demo Product 331 - Clothing","This is demo product number 331 in the Clothing category.","535.80","420.28","859","Clothing","Women",""
"DEMO-000332","Demo Product 332 - Home & Garden","This is demo product number 332 in the Home & Garden category.","612.04","234.63","19","Home & Garden","Kitchen",""
"DEMO-000333","Demo Product 333 - Sports & Outdoors","This is demo product number 333 in the Sports & Outdoors category.","672.15","129.36","919","Sports & Outdoors","Fitness",""
"DEMO-000334","Demo Product 334 - Books & Media","This is demo product number 334 in the Books & Media category.","385.28","492.53","754","Books & Media","Non-Fiction",""
"DEMO-000335","Demo Product 335 - Electronics","This is demo product number 335 in the Electronics category.","441.38","77.39","545","Electronics","Tablets",""
"DEMO-000336","Demo Product 336 - Clothing","This is demo product number 336 in the Clothing category.","590.86","338.38","118","Clothing","Men",""
"DEMO-000337","Demo Product 337 - Home & Garden","This is demo product number 337 in the Home & Garden category.","115.77","45.07","145","Home & Garden","Decor",""
"DEMO-000338","Demo Product 338 - Sports & Outdoors","This is demo product number 338 in the Sports & Outdoors category.","374.05","133.93","719","Sports & Outdoors","Cycling",""
"DEMO-000339","Demo Product 339 - Books & Media","This is demo product number 339 in the Books & Media category.","850.84","243.39","525","Books & Media","Fiction",""
"DEMO-000340","Demo Product 340 - Electronics","This is demo product number 340 in the Electronics category.","695.35","158.38","604","Electronics","Laptops",""
"DEMO-000341","Demo Product 341 - Clothing","This is demo product number 341 in the Clothing category.","803.21","11.04","580","Clothing","Kids",""
"DEMO-000342","Demo Product 342 - Home & Garden","This is demo product number 342 in the Home & Garden category.","84.73","121.53","294","Home & Garden","Furniture",""
"DEMO-000343","Demo Product 343 - Sports & Outdoors","This is demo product number 343 in the Sports & Outdoors category.","369.54","141.02","948","Sports & Outdoors","Camping",""
"DEMO-000344","Demo Product 344 - Books & Media","This is demo product number 344 in the Books & Media category.","146.23","140.07","489","Books & Media","Educational",""
"DEMO-000345","Demo Product 345 - Electronics","This is demo product number 345 in the Electronics category.","785.81","28.70","875","Electronics","Smartphones",""
"DEMO-000346","Demo Product 346 - Clothing","This is demo product number 346 in the Clothing category.","469.13","7.16","11","Clothing","Women",""
"DEMO-000347","Demo Product 347 - Home & Garden","This is demo product number 347 in the Home & Garden category.","401.10","289.53","97","Home & Garden","Kitchen",""
"DEMO-000348","Demo Product 348 - Sports & Outdoors","This is demo product number 348 in the Sports & Outdoors category.","123.32","449.48","893","Sports & Outdoors","Fitness",""
"DEMO-000349","Demo Product 349 - Books & Media","This is demo product number 349 in the Books & Media category.","509.55","253.25","741","Books & Media","Non-Fiction",""
"DEMO-000350","Demo Product 350 - Electronics","This is demo product number 350 in the Electronics category.","381.68","135.95","179","Electronics","Tablets",""
"DEMO-000351","Demo Product 351 - Clothing","This is demo product number 351 in the Clothing category.","114.47","490.25","201","Clothing","Men",""
"DEMO-000352","Demo Product 352 - Home & Garden","This is demo product number 352 in the Home & Garden category.","514.70","111.52","389","Home & Garden","Decor",""
"DEMO-000353","Demo Product 353 - Sports & Outdoors","This is demo product number 353 in the Sports & Outdoors category.","770.70","68.09","88","Sports & Outdoors","Cycling",""
"DEMO-000354","Demo Product 354 - Books & Media","This is demo product number 354 in the Books & Media category.","390.72","300.80","474","Books & Media","Fiction",""
"DEMO-000355","Demo Product 355 - Electronics","This is demo product number 355 in the Electronics category.","995.10","280.86","492","Electronics","Laptops",""
"DEMO-000356","Demo Product 356 - Clothing","This is demo product number 356 in the Clothing category.","984.99","494.83","248","Clothing","Kids",""
"DEMO-000357","Demo Product 357 - Home & Garden","This is demo product number 357 in the Home & Garden category.","485.10","239.27","795","Home & Garden","Furniture",""
"DEMO-000358","Demo Product 358 - Sports & Outdoors","This is demo product number 358 in the Sports & Outdoors category.","435.82","247.52","554","Sports & Outdoors","Camping",""
"DEMO-000359","Demo Product 359 - Books & Media","This is demo product number 359 in the Books & Media category.","20.16","242.76","493","Books & Media","Educational",""
"DEMO-000360","Demo Product 360 - Electronics","This is demo product number 360 in the Electronics category.","334.45","302.43","350","Electronics","Smartphones",""
"DEMO-000361","Demo Product 361 - Clothing","This is demo product number 361 in the Clothing category.","801.74","404.49","640","Clothing","Women",""
"DEMO-000362","Demo Product 362 - Home & Garden","This is demo product number 362 in the Home & Garden category.","126.77","417.00","780","Home & Garden","Kitchen",""
"DEMO-000363","Demo Product 363 - Sports & Outdoors","This is demo product number 363 in the Sports & Outdoors category.","750.69","459.92","263","Sports & Outdoors","Fitness",""
"DEMO-000364","Demo Product 364 - Books & Media","This is demo product number 364 in the Books & Media category.","549.70","320.87","956","Books & Media","Non-Fiction",""
"DEMO-000365","Demo Product 365 - Electronics","This is demo product number 365 in the Electronics category.","188.52","376.59","615","Electronics","Tablets",""
"DEMO-000366","Demo Product 366 - Clothing","This is demo product number 366 in the Clothing category.","661.90","351.64","987","Clothing","Men",""
"DEMO-000367","Demo Product 367 - Home & Garden","This is demo product number 367 in the Home & Garden category.","391.67","487.88","367","Home & Garden","Decor",""
"DEMO-000368","Demo Product 368 - Sports & Outdoors","This is demo product number 368 in the Sports & Outdoors category.","567.44","412.02","123","Sports & Outdoors","Cycling",""
"DEMO-000369","Demo Product 369 - Books & Media","This is demo product number 369 in the Books & Media category.","72.15","137.55","232","Books & Media","Fiction",""
"DEMO-000370","Demo Product 370 - Electronics","This is demo product number 370 in the Electronics category.","179.80","316.18","894","Electronics","Laptops",""
"DEMO-000371","Demo Product 371 - Clothing","This is demo product number 371 in the Clothing category.","464.35","405.37","524","Clothing","Kids",""
"DEMO-000372","Demo Product 372 - Home & Garden","This is demo product number 372 in the Home & Garden category.","733.75","471.25","115","Home & Garden","Furniture",""
"DEMO-000373","Demo Product 373 - Sports & Outdoors","This is demo product number 373 in the Sports & Outdoors category.","458.00","301.58","789","Sports & Outdoors","Camping",""
"DEMO-000374","Demo Product 374 - Books & Media","This is demo product number 374 in the Books & Media category.","573.65","94.56","481","Books & Media","Educational",""
"DEMO-000375","Demo Product 375 - Electronics","This is demo product number 375 in the Electronics category.","914.71","184.03","474","Electronics","Smartphones",""
"DEMO-000376","Demo Product 376 - Clothing","This is demo product number 376 in the Clothing category.","829.60","159.05","842","Clothing","Women",""
"DEMO-000377","Demo Product 377 - Home & Garden","This is demo product number 377 in the Home & Garden category.","459.96","380.11","826","Home & Garden","Kitchen",""
"DEMO-000378","Demo Product 378 - Sports & Outdoors","This is demo product number 378 in the Sports & Outdoors category.","37.93","159.61","646","Sports & Outdoors","Fitness",""
"DEMO-000379","Demo Product 379 - Books & Media","This is demo product number 379 in the Books & Media category.","352.07","296.07","823","Books & Media","Non-Fiction",""
"DEMO-000380","Demo Product 380 - Electronics","This is demo product number 380 in the Electronics category.","43.30","183.02","591","Electronics","Tablets",""
"DEMO-000381","Demo Product 381 - Clothing","This is demo product number 381 in the Clothing category.","361.26","450.26","129","Clothing","Men",""
"DEMO-000382","Demo Product 382 - Home & Garden","This is demo product number 382 in the Home & Garden category.","124.86","471.01","192","Home & Garden","Decor",""
"DEMO-000383","Demo Product 383 - Sports & Outdoors","This is demo product number 383 in the Sports & Outdoors category.","698.38","114.09","378","Sports & Outdoors","Cycling",""
"DEMO-000384","Demo Product 384 - Books & Media","This is demo product number 384 in the Books & Media category.","129.84","304.57","400","Books & Media","Fiction",""
"DEMO-000385","Demo Product 385 - Electronics","This is demo product number 385 in the Electronics category.","584.36","166.04","556","Electronics","Laptops",""
"DEMO-000386","Demo Product 386 - Clothing","This is demo product number 386 in the Clothing category.","382.97","359.35","715","Clothing","Kids",""
"DEMO-000387","Demo Product 387 - Home & Garden","This is demo product number 387 in the Home & Garden category.","288.93","342.17","606","Home & Garden","Furniture",""
"DEMO-000388","Demo Product 388 - Sports & Outdoors","This is demo product number 388 in the Sports & Outdoors category.","858.27","433.56","785","Sports & Outdoors","Camping",""
"DEMO-000389","Demo Product 389 - Books & Media","This is demo product number 389 in the Books & Media category.","464.36","193.78","241","Books & Media","Educational",""
"DEMO-000390","Demo Product 390 - Electronics","This is demo product number 390 in the Electronics category.","597.53","209.08","743","Electronics","Smartphones",""
"DEMO-000391","Demo Product 391 - Clothing","This is demo product number 391 in the Clothing category.","53.24","71.50","749","Clothing","Women",""
"DEMO-000392","Demo Product 392 - Home & Garden","This is demo product number 392 in the Home & Garden category.","644.00","485.62","830","Home & Garden","Kitchen",""
"DEMO-000393","Demo Product 393 - Sports & Outdoors","This is demo product number 393 in the Sports & Outdoors category.","415.23","264.19","60","Sports & Outdoors","Fitness",""
"DEMO-000394","Demo Product 394 - Books & Media","This is demo product number 394 in the Books & Media category.","968.32","305.87","289","Books & Media","Non-Fiction",""
"DEMO-000395","Demo Product 395 - Electronics","This is demo product number 395 in the Electronics category.","205.91","253.24","603","Electronics","Tablets",""
"DEMO-000396","Demo Product 396 - Clothing","This is demo product number 396 in the Clothing category.","632.50","195.20","805","Clothing","Men",""
"DEMO-000397","Demo Product 397 - Home & Garden","This is demo product number 397 in the Home & Garden category.","227.41","480.21","155","Home & Garden","Decor",""
"DEMO-000398","Demo Product 398 - Sports & Outdoors","This is demo product number 398 in the Sports & Outdoors category.","758.57","48.15","885","Sports & Outdoors","Cycling",""
"DEMO-000399","Demo Product 399 - Books & Media","This is demo product number 399 in the Books & Media category.","423.61","52.11","180","Books & Media","Fiction",""
"DEMO-000400","Demo Product 400 - Electronics","This is demo product number 400 in the Electronics category.","381.98","367.48","254","Electronics","Laptops",""
"DEMO-000401","Demo Product 401 - Clothing","This is demo product number 401 in the Clothing category.","497.85","26.86","316","Clothing","Kids",""
"DEMO-000402","Demo Product 402 - Home & Garden","This is demo product number 402 in the Home & Garden category.","956.78","263.86","961","Home & Garden","Furniture",""
"DEMO-000403","Demo Product 403 - Sports & Outdoors","This is demo product number 403 in the Sports & Outdoors category.","379.57","423.34","841","Sports & Outdoors","Camping",""
"DEMO-000404","Demo Product 404 - Books & Media","This is demo product number 404 in the Books & Media category.","590.79","69.29","373","Books & Media","Educational",""
"DEMO-000405","Demo Product 405 - Electronics","This is demo product number 405 in the Electronics category.","646.44","291.76","511","Electronics","Smartphones",""
"DEMO-000406","Demo Product 406 - Clothing","This is demo product number 406 in the Clothing category.","37.16","488.43","121","Clothing","Women",""
"DEMO-000407","Demo Product 407 - Home & Garden","This is demo product number 407 in the Home & Garden category.","375.55","132.38","787","Home & Garden","Kitchen",""
"DEMO-000408","Demo Product 408 - Sports & Outdoors","This is demo product number 408 in the Sports & Outdoors category.","951.64","153.13","941","Sports & Outdoors","Fitness",""
"DEMO-000409","Demo Product 409 - Books & Media","This is demo product number 409 in the Books & Media category.","390.88","308.65","441","Books & Media","Non-Fiction",""
"DEMO-000410","Demo Product 410 - Electronics","This is demo product number 410 in the Electronics category.","739.64","19.36","929","Electronics","Tablets",""
"DEMO-000411","Demo Product 411 - Clothing","This is demo product number 411 in the Clothing category.","826.78","269.98","655","Clothing","Men",""
